year,value,country,country_name,ma3
2002,1.63769009193116,USA,United States,1.6119546113292433
2003,1.70400198684163,USA,United States,1.573930022564577
2004,3.06129234381941,USA,United States,2.134328140864067
2005,0.403329983855397,USA,United States,1.722874771505479
2006,2.05420877931708,USA,United States,1.839610368997296
2007,3.61946792349253,USA,United States,2.0256688955550026
2008,2.32624445049071,USA,United States,2.6666403844334403
2009,2.15910759776953,USA,United States,2.701606657250924
2010,2.32459848849916,USA,United States,2.2699835122531336
2011,2.79886929155041,USA,United States,2.4275251259397
2012,2.32090958851109,USA,United States,2.4814591228535536
2013,2.33207591223804,USA,United States,2.48395159743318
2014,2.20805687391019,USA,United States,2.2870141248864404
2015,1.65918189535913,USA,United States,2.06643822716912
2016,1.60370806321427,USA,United States,1.823648944161197
2017,2.10199684628348,USA,United States,1.78829560161896
2018,-0.636631934610167,USA,United States,1.0230243249625277
2019,0.537519893200158,USA,United States,0.6676282682911573
2020,1.34057289113254,USA,United States,0.41382028324084397
2021,1.46750940499431,USA,United States,1.1152007297756696
2022,1.51864594633252,USA,United States,1.442242747486457
2023,1.28639455857168,USA,United States,1.4241833032995037
2024,1.12054360395912,USA,United States,1.3085280362877736
