date,usdjpy,eq_price,fx_ret,eq_ret,eq_ret_local,jpy_2y,jpy_10y,us_2y,jpy_2y_change,jpy_10y_change,us_2y_change,vix,diff_compression,yen_vol,jgb_pressure,fragility_pca,fragility_equal,fragility_no_vix,fragility_japan_only,boj_event,boj_shock,boj_tightening_shock,boj_easing_shock,major_tightening_event
2019-09-17,108.14,56.78,-0.2778036789861993,0.3705341689760999,0.6483378479622992,-0.248,-0.145,1.72,0.30000000000000027,0.5000000000000004,-2.0000000000000018,14.44,2.300000000000013,0.25816968195852874,1.4499999999999993,-0.7274469135927307,-0.2284879493470962,-0.11932963178129237,-0.3908704953665317,0,0.0,0.0,-0.0,0
2019-09-18,108.15,56.66,-0.009246844520927056,-0.2115656642454944,-0.20231881972456733,-0.269,-0.178,1.77,-2.100000000000002,-3.3000000000000003,5.000000000000004,13.95,-7.100000000000017,0.256520059455665,1.5899999999999994,-0.7690067129148938,-0.6237488579958678,-0.6241725068898556,-0.30223528224030144,0,0.0,0.0,-0.0,0
2019-09-19,107.94,57.08,0.1943635208570882,0.7385298206265212,0.544166299769433,-0.305,-0.22,1.74,-3.599999999999998,-4.200000000000001,-3.0000000000000027,14.05,-0.5999999999999783,0.2552435493324782,1.7749999999999997,-0.5269302792659089,-0.26839378508082357,-0.154890573565674,-0.18324290540605065,1,-3.599999999999998,0.0,3.599999999999998,0
2019-09-20,107.99,56.95,-0.046311305417123805,-0.2280102715443988,-0.18169896612727499,-0.31,-0.209,1.69,-0.5000000000000004,1.100000000000001,-5.000000000000004,15.32,4.499999999999993,0.25517472019805626,1.8049999999999997,-0.36842236064946804,0.013968805625092742,0.16412753256457246,-0.16366123360687718,0,0.0,0.0,-0.0,0
2019-09-23,107.48,56.89,0.4733846497377847,-0.10541111306352491,-0.5787957628013096,-0.31,-0.209,1.68,0.0,0.0,-1.0000000000000009,14.91,1.0000000000000009,0.28320183830565915,1.8049999999999997,-0.3582269371300492,-0.12845949309242605,-0.007225060419022229,-0.10572753369272175,0,0.0,0.0,-0.0,0
2019-09-24,107.65,56.97,-0.15804400630816673,0.14052347297477397,0.2985674792829407,-0.324,-0.231,1.6,-1.4000000000000012,-2.200000000000002,-7.999999999999985,17.05,6.599999999999984,0.2808768926277574,1.8849999999999993,-0.1135945137743114,0.22002980350560966,0.3605959610065841,-0.05793614457758778,0,0.0,0.0,-0.0,0
2019-09-25,107.45,57.2,0.1859600721852317,0.40290848934478873,0.21694841715955704,-0.346,-0.246,1.68,-2.1999999999999966,-1.4999999999999987,7.999999999999985,15.96,-10.199999999999964,0.24823077319461548,1.7549999999999994,-0.5954909246625759,-0.6493468400099379,-0.7492522438824166,-0.2108880228412623,0,0.0,0.0,-0.0,0
2019-09-26,107.63,57.3,-0.16737961876867047,0.1746725334942134,0.3420521522628839,-0.331,-0.236,1.66,1.4999999999999958,1.0000000000000009,-2.0000000000000018,16.07,3.499999999999992,0.24492069366555363,1.7499999999999993,-0.41772017440726256,-0.03425179928179435,0.06589716346964314,-0.22101747599511445,0,0.0,0.0,-0.0,0
2019-09-27,108.1,56.48,-0.4357305368955622,-1.4414030535707667,-1.0056725166752045,-0.321,-0.224,1.63,1.0000000000000009,1.1999999999999984,-3.0000000000000027,17.22,4.0000000000000036,0.2546348303178505,1.7799999999999994,-0.3002273088218469,0.04717401058207314,0.12242935848554404,-0.1812138390983425,0,0.0,0.0,-0.0,0
2019-09-30,107.99,56.74,0.10180944004938297,0.4592836195718597,0.35747417952247673,-0.323,-0.206,1.63,-0.20000000000000018,1.8000000000000016,0.0,16.24,-0.20000000000000018,0.23979922591763725,1.7949999999999995,-0.4364013402828901,-0.18546309426476343,-0.14341010846397365,-0.2020179322551609,0,0.0,0.0,-0.0,0
2019-10-01,108.28,56.49,-0.2681834501432334,-0.44157980435342026,-0.17339635421018684,-0.294,-0.139,1.56,2.9000000000000026,6.6999999999999975,-6.999999999999984,18.56,9.899999999999975,0.24172138467049706,2.0749999999999997,0.055154358726266436,0.44174666666439344,0.5878935037238817,-0.013954557640357357,0,0.0,0.0,-0.0,0
2019-10-02,107.52,55.79,0.7043587971261367,-1.246898947973385,-1.9512577450995217,-0.309,-0.169,1.48,-1.5000000000000013,-3.0,-8.000000000000007,20.56,6.500000000000017,0.3014410420364812,2.165,0.3528705362719411,0.44794523482462345,0.5056616500199754,0.16866132006791174,0,0.0,0.0,-0.0,0
2019-10-03,106.99,56.07,0.4941504624324189,0.5006268278144432,0.0064763653820243405,-0.325,-0.194,1.39,-1.6000000000000014,-2.4999999999999996,-9.000000000000007,19.12,7.400000000000007,0.31235053225959175,2.205,0.35502650831050786,0.46399683057232577,0.5922213377842117,0.21751047158552628,0,0.0,0.0,-0.0,0
2019-10-04,106.78,56.72,0.19647290784750027,1.1525972088290537,0.9561243009815534,-0.335,-0.215,1.4,-1.0000000000000009,-2.099999999999999,1.0000000000000009,17.04,-2.0000000000000018,0.3071714856818096,2.1799999999999997,0.08630406808020913,-0.04311129658173872,0.010193643946374046,0.19036845661784274,0,0.0,0.0,-0.0,0
2019-10-07,106.83,56.36,-0.046814288575625085,-0.6367195193392128,-0.5899052307635877,-0.338,-0.23,1.46,-0.30000000000000027,-1.5000000000000013,6.000000000000005,17.86,-6.300000000000017,0.3072423549202208,2.2049999999999996,0.09077605497030908,-0.20046905168518528,-0.2367203068044154,0.20695156888453348,0,0.0,0.0,-0.0,0
2019-10-08,106.89,56.03,-0.05614823280577497,-0.5872425453286922,-0.5310943125229173,-0.323,-0.203,1.42,1.5000000000000013,2.6999999999999997,-4.0000000000000036,20.28,5.500000000000016,0.29455527467113013,2.1799999999999997,0.31808644890994126,0.39126277856709485,0.44275456725172696,0.16429000716969577,0,0.0,0.0,-0.0,0
2019-10-09,107.38,56.52,-0.4573676708568897,0.870729623913391,1.3280972947702807,-0.324,-0.208,1.47,-0.10000000000000009,-0.49999999999999767,5.000000000000004,18.64,-5.100000000000016,0.30406552208509574,2.105,0.05554496283483017,-0.15616179898096802,-0.21293764825330216,0.13463838320621513,0,0.0,0.0,-0.0,0
2019-10-10,107.45,56.45,-0.06516780940968303,-0.12392672206553712,-0.05875891265585409,-0.315,-0.214,1.53,0.9000000000000008,-0.6000000000000005,6.000000000000005,17.57,-5.099999999999993,0.3042948634647772,2.105,0.0015110193669157824,-0.19223653319179093,-0.21262160684851206,0.13511244531339833,0,0.0,0.0,-0.0,0
2019-10-11,108.44,57.15,-0.9171401541944846,1.2324099645148578,2.1495501187093424,-0.295,-0.183,1.63,2.0000000000000018,3.1,9.999999999999986,15.58,-7.999999999999985,0.3663836965366333,1.975,-0.07261224313361751,-0.36881871320955534,-0.35802038534423936,0.17798328020686077,0,0.0,0.0,-0.0,0
2019-10-15,108.32,57.75,-0.07388253014326551,1.4828008269618387,1.5566833571051042,-0.281,-0.171,1.61,1.3999999999999957,1.1999999999999984,-1.9999999999999796,13.54,3.399999999999981,0.3645850568505392,2.035,0.021964218654031878,0.09275545203962351,0.3497183784638965,0.21371327762168224,0,0.0,0.0,-0.0,0
2019-10-16,108.75,57.63,-0.3961860804828632,-0.2080083953328149,0.1881776851500483,-0.267,-0.162,1.58,1.4000000000000012,0.9000000000000008,-3.0000000000000027,13.68,4.400000000000004,0.3697202267243366,2.055,0.0735413459318593,0.15438317723993453,0.42555391594341624,0.23747727258680312,0,0.0,0.0,-0.0,0
